1,People's Co-op Farmers Market,30th and Burnside,Portland,Multnomah,Oregon,97202
2,Silverdale Farmers Market,98383,Silverdale,Kitsap,Washington,98383
3,Dolgeville Farmer's Market,(Parking Lot) Between Main St. and Helmer Ave,Dolgeville,Herkimer,New York,13329
4,Preston Farmers’ Market,#1 Route 164,Preston,New London,Connecticut,
5,Quincy Farmers Market,0 Denis Ryan Parkway,Quincy,Norfolk,Massachusetts,2169
6,Jefferson City Farmer's Market,000 Main Street,Jefferson City,Cole,Missouri,0
7,Petaluma Evening Farmers' Market,1 2nd Street,Petaluma,Sonoma,California,94952
8,Charlestown Farmers Market,"1 Austin Street, Thompson Square at Austin & Main Streets",Boston,,Massachusetts,2129
9,Farmers Market at Christopher Newport University,1 Avenue of the Arts,Newport News,Newport News,Virginia,23606
10,Saratoga Farmers' Market,1 Bayberry Drive,Ballston Sp,Saratoga,New York,12020
11,Charles Square,"1 Bennett Street,",Cambridge,Middlesex,Massachusetts,2138
12,Coxsackie Farmers' Market,1 Betke Boulevard,Coxsackie,Greene,New York,12051
13,Otsiningo Park Farmers' Market,1 Bevier St,Binghamton,Broome,New York,13905
14,Hartford Farmers Market,1 Block North of Highway 60 on Rural Street,Hartford,Washington,Wisconsin,53027
15,Farmers Market in Denison,1 block west of Main St.,Denison,,Texas,75090
16,Riverside Farmers' Market,1 Burling Rd.,Riverside,Cook,Illinois,60546
17,Farmers Market in Camdenton,1 Camden Ct NW,Camdenton,Camden,Missouri,65020
18,Grand Valley State University Farmers Market,"1 Campus Drive, Parking Lot F",Allendale,Ottawa,Michigan,49504
19,Ringwood Farmers' Market,1 Cannici Drive,Ringwood,Passaic,New Jersey,7456
20,Scottdale Farmers Market,1 Centennial Way,Scottdale,Westmoreland,Pennsylvania,15683
